,corrupted,mean,median,knn,svd,mice,spectral,matrix,gmm,gain,grape,dini
mse,0.1771104335403507,0.0450827970200908,0.05695138583548511,0.01992014890672209,0.060738701694590266,0.02832281666560094,0.05563790883239236,0.043715508265886036,0.07748060574019491,0.1771104335403507,0.1771104335403507,0.06016687829544004
mae,0.3336485420321573,0.17229118095886464,0.161773379541416,0.0749793075705327,0.1992796423067995,0.12352895367277128,0.18121496287275907,0.1632748440224239,0.1742291484222721,0.3336485420321573,0.3336485420321573,0.19961807412581883
