,corrupted,mean,median,knn,svd,mice,spectral,matrix,gmm,gain,grape,dini
mse,0.5504199916574107,0.08412171282866086,0.07982703063551487,0.01904780656662201,0.06329420684293396,0.01929272625657665,0.06275964020309681,0.04387991063718527,0.08139688503475323,0.5504199916574107,0.5504199916574107,0.029605042486070047
mae,0.6648463707779437,0.24299008771286973,0.19632414320110908,0.07083760277118678,0.1844937592159654,0.08250526523728846,0.16573493780102994,0.1393046824567958,0.14199277660260173,0.6648463707779437,0.6648463707779437,0.1093399910743154
