,corrupted,mean,median,knn,svd,mice,spectral,matrix,gmm,gain,grape,dini
mse,0.20377911443897861,0.06950313923343582,0.07270544750796125,0.02937503714567226,0.06640405197974349,0.03117300715308174,0.04231400285704725,0.04920632160276244,0.07142257589302184,0.20377911443897861,0.20377911443897861,0.03738395881220699
mae,0.36444441385765214,0.20817629998747442,0.20486112831618178,0.11103845526266247,0.1947734451108647,0.11523944867952086,0.14382252046200858,0.16019577098733684,0.16676708567587722,0.36444441385765214,0.36444441385765214,0.13607925995433354
