,corrupted,mean,median,knn,svd,mice,spectral,matrix,gmm,gain,grape,dini
mse,0.18576513347721602,0.06594961770873671,0.06432578399421242,0.04750269815854564,0.12433797296012374,0.053945349008228914,0.0881505074171355,0.06813242464490732,0.08700318067706488,0.18576513347721602,0.18576513347721602,0.05650766467385733
mae,0.3454421534458532,0.21124886952249447,0.19323296813406682,0.14183019029023558,0.2810165550057041,0.17960343245644747,0.23405741375252984,0.20964695304004993,0.22255700086804772,0.3454421534458532,0.3454421534458532,0.183539844649671
