,corrupted,mean,median,knn,svd,mice,spectral,matrix,gmm,gain,grape,dini
mse,0.16476108076876397,0.053670651034059116,0.038973321902960226,0.018671484482018993,0.07386152827691737,0.027798681336877,0.061570367502564775,0.05245695391171032,0.06170749190713254,0.16476108076876397,0.16476108076876397,0.07257261290987929
mae,0.2822834728645072,0.19402150664260073,0.13621157862713767,0.07031460124199121,0.22407741166365366,0.12493655199404691,0.1889428590785883,0.18241025568958766,0.14661136810219363,0.2822834728645072,0.2822834728645072,0.22532203883350654
